Epoch,Num trials,Number correct,accuracy,Time
0,7340,652,0.0888283378746594,2.950179119594395
0,816,115,0.1409313725490196,0.38997678412124515
1,7340,1698,0.23133514986376022,2.8769046450033784
1,816,236,0.28921568627450983,0.38440734473988414
2,7340,2646,0.36049046321525885,2.8520343988202512
2,816,351,0.43014705882352944,0.3829764178954065
3,7340,3505,0.4775204359673024,2.8636315632611513
3,816,430,0.5269607843137255,0.3856225609779358
4,7340,4171,0.5682561307901908,2.8727727867662907
4,816,489,0.5992647058823529,0.38710207073017955
5,7340,4630,0.6307901907356949,2.893307446036488
5,816,530,0.6495098039215687,0.3906434723176062
6,7340,5004,0.6817438692098092,2.9029416940174997
6,816,563,0.6899509803921569,0.3909064857289195
7,7340,5292,0.7209809264305177,2.9183489913120866
7,816,596,0.7303921568627451,0.39210818242281675
8,7340,5552,0.7564032697547683,2.930424372665584
8,816,622,0.7622549019607843,0.39358298061415553
9,7340,5754,0.7839237057220708,2.9389121481217444
9,816,640,0.7843137254901961,0.3948650360107422
10,7340,5876,0.8005449591280654,2.9402287770062685
10,816,651,0.7977941176470589,0.39552603010088205
11,7340,6000,0.8174386920980926,2.944971526041627
11,816,662,0.8112745098039216,0.3951423428952694
12,7340,6110,0.832425068119891,2.9377436973154545
12,816,676,0.8284313725490197,0.394019263330847
13,7340,6186,0.8427792915531335,2.9422807218506932
13,816,686,0.8406862745098039,0.3970981608144939
14,7340,6255,0.8521798365122616,2.937408301047981
14,816,695,0.8517156862745098,0.3939629220403731
15,7340,6314,0.8602179836512261,2.9412414520047605
15,816,699,0.8566176470588235,0.39445150177925825
16,7340,6384,0.8697547683923705,2.9399019894190133
16,816,703,0.8615196078431373,0.3952762698754668
17,7340,6434,0.876566757493188,2.9416672876104712
17,816,709,0.8688725490196079,0.39588539069518447
18,7340,6473,0.8818801089918256,2.9440907607786357
18,816,715,0.8762254901960784,0.39441798301413655
19,7340,6523,0.888692098092643,2.9402928301133215
19,816,720,0.8823529411764706,0.39405020605772734
20,7340,6581,0.8965940054495913,2.9414849672466516
20,816,725,0.8884803921568627,0.3940114174038172
