hidden weight mean,hidden weight sd,output weight mean,output weight sd,accuracy
0.0,0.0,0.0,0.0,0.04904364884747425
0.0,0.0,0.0,0.5,0.04904364884747425
0.0,0.0,0.0,1.0,0.04904364884747425
0.0,0.0,0.0,1.5,0.04904364884747425
0.0,0.0,0.0,2.0,0.04904364884747425
0.0,0.0,0.0,2.5,0.04904364884747425
0.0,0.0,0.0,3.0,0.04904364884747425
0.0,0.0,0.0,3.5,0.04904364884747425
0.0,0.0,0.5,0.0,0.04904364884747425
0.0,0.0,0.5,0.5,0.04904364884747425
0.0,0.0,0.5,1.0,0.04904364884747425
0.0,0.0,0.5,1.5,0.04904364884747425
0.0,0.0,0.5,2.0,0.04904364884747425
0.0,0.0,0.5,2.5,0.04904364884747425
0.0,0.0,0.5,3.0,0.04904364884747425
0.0,0.0,0.5,3.5,0.04904364884747425
0.0,0.0,1.0,0.0,0.04904364884747425
0.0,0.0,1.0,0.5,0.04904364884747425
0.0,0.0,1.0,1.0,0.04904364884747425
0.0,0.0,1.0,1.5,0.04904364884747425
0.0,0.0,1.0,2.0,0.04904364884747425
0.0,0.0,1.0,2.5,0.04904364884747425
0.0,0.0,1.0,3.0,0.04904364884747425
0.0,0.0,1.0,3.5,0.04904364884747425
0.0,0.0,1.5,0.0,0.04904364884747425
0.0,0.0,1.5,0.5,0.04904364884747425
0.0,0.0,1.5,1.0,0.04904364884747425
0.0,0.0,1.5,1.5,0.04904364884747425
0.0,0.0,1.5,2.0,0.04904364884747425
0.0,0.0,1.5,2.5,0.04904364884747425
0.0,0.0,1.5,3.0,0.04904364884747425
0.0,0.0,1.5,3.5,0.04904364884747425
0.0,0.0,2.0,0.0,0.04904364884747425
0.0,0.0,2.0,0.5,0.04904364884747425
0.0,0.0,2.0,1.0,0.04904364884747425
0.0,0.0,2.0,1.5,0.04904364884747425
0.0,0.0,2.0,2.0,0.04904364884747425
0.0,0.0,2.0,2.5,0.04904364884747425
0.0,0.0,2.0,3.0,0.04904364884747425
0.0,0.0,2.0,3.5,0.04904364884747425
0.0,0.0,2.5,0.0,0.04904364884747425
0.0,0.0,2.5,0.5,0.04904364884747425
0.0,0.0,2.5,1.0,0.04904364884747425
0.0,0.0,2.5,1.5,0.04904364884747425
0.0,0.0,2.5,2.0,0.04904364884747425
0.0,0.0,2.5,2.5,0.04904364884747425
0.0,0.0,2.5,3.0,0.04904364884747425
0.0,0.0,2.5,3.5,0.04904364884747425
0.0,0.0,3.0,0.0,0.04904364884747425
0.0,0.0,3.0,0.5,0.04904364884747425
0.0,0.0,3.0,1.0,0.04904364884747425
0.0,0.0,3.0,1.5,0.04904364884747425
0.0,0.0,3.0,2.0,0.04904364884747425
0.0,0.0,3.0,2.5,0.04904364884747425
0.0,0.0,3.0,3.0,0.04904364884747425
0.0,0.0,3.0,3.5,0.04904364884747425
0.0,0.0,3.5,0.0,0.04904364884747425
0.0,0.0,3.5,0.5,0.04904364884747425
0.0,0.0,3.5,1.0,0.04904364884747425
0.0,0.0,3.5,1.5,0.04904364884747425
0.0,0.0,3.5,2.0,0.04904364884747425
0.0,0.0,3.5,2.5,0.04904364884747425
0.0,0.0,3.5,3.0,0.04904364884747425
0.0,0.0,3.5,3.5,0.04904364884747425
0.0,0.5,0.0,0.0,0.04904364884747425
0.0,0.5,0.0,0.5,0.04904364884747425
0.0,0.5,0.0,1.0,0.04904364884747425
0.0,0.5,0.0,1.5,0.04904364884747425
0.0,0.5,0.0,2.0,0.04904364884747425
0.0,0.5,0.0,2.5,0.04904364884747425
0.0,0.5,0.0,3.0,0.04904364884747425
0.0,0.5,0.0,3.5,0.04904364884747425
0.0,0.5,0.5,0.0,0.04904364884747425
0.0,0.5,0.5,0.5,0.04904364884747425
0.0,0.5,0.5,1.0,0.04904364884747425
0.0,0.5,0.5,1.5,0.04904364884747425
0.0,0.5,0.5,2.0,0.04904364884747425
0.0,0.5,0.5,2.5,0.04904364884747425
0.0,0.5,0.5,3.0,0.04904364884747425
0.0,0.5,0.5,3.5,0.04904364884747425
0.0,0.5,1.0,0.0,0.04904364884747425
0.0,0.5,1.0,0.5,0.04904364884747425
0.0,0.5,1.0,1.0,0.04904364884747425
0.0,0.5,1.0,1.5,0.04904364884747425
0.0,0.5,1.0,2.0,0.04904364884747425
0.0,0.5,1.0,2.5,0.04904364884747425
0.0,0.5,1.0,3.0,0.04904364884747425
0.0,0.5,1.0,3.5,0.057626287395782246
0.0,0.5,1.5,0.0,0.04904364884747425
0.0,0.5,1.5,0.5,0.04904364884747425
0.0,0.5,1.5,1.0,0.04904364884747425
0.0,0.5,1.5,1.5,0.04904364884747425
0.0,0.5,1.5,2.0,0.04904364884747425
0.0,0.5,1.5,2.5,0.04904364884747425
0.0,0.5,1.5,3.0,0.04904364884747425
0.0,0.5,1.5,3.5,0.04904364884747425
0.0,0.5,2.0,0.0,0.04904364884747425
0.0,0.5,2.0,0.5,0.04904364884747425
