hidden weight mean,hidden weight sd,output weight mean,output weight sd,accuracy,epoch
2.402475201639219,0.137924074989918,2.8307768571802967,3.919839558814884,0.45769985286905346,0
4.028394597928278,1.3001910161057846,0.29511950953374444,4.691128993203149,0.8580186365865621,1
4.028394597928278,1.3001910161057846,0.29511950953374444,4.691128993203149,0.8580186365865621,2
4.028394597928278,1.3001910161057846,0.29511950953374444,4.691128993203149,0.8580186365865621,3
1.2810371599822519,2.379967594234582,0.010170625166426861,1.6237151228776114,0.5765080922020598,4
1.2810371599822519,2.379967594234582,0.010170625166426861,1.6237151228776114,0.5765080922020598,5
0.0,3.5,3.0,1.5,0.9521824423737126,6
0.0,3.5,3.0,1.5,0.9521824423737126,7
0.0,3.5,3.0,1.5,0.9460519862677783,8
0.0,3.5,3.0,1.5,0.9460519862677783,9
0.0,3.5,3.0,1.5,0.9460519862677783,10
0.0,3.5,3.0,1.5,0.9460519862677783,11
0.0,3.5,3.0,1.5,0.9460519862677783,12
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,13
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,14
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,15
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,16
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,17
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,18
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,19
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,20
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.959048553212359,21
4.028394597928278,1.3001910161057846,3.2089357381978756,4.691128993203149,0.9174840608141246,22
4.028394597928278,1.3001910161057846,3.2089357381978756,4.691128993203149,0.9174840608141246,23
4.028394597928278,1.3001910161057846,3.2089357381978756,4.691128993203149,0.9174840608141246,24
4.09585509904954,3.2387874242548245,0.010170625166426861,1.6237151228776114,0.9100049043648848,25
4.09585509904954,3.2387874242548245,0.010170625166426861,1.6237151228776114,0.9100049043648848,26
0.0,3.5,3.0,1.5,0.8902648357037763,27
0.0,3.5,3.0,1.5,0.9510789602746444,28
0.0,0.686138543477029,0.7004893670855306,1.5,0.9510789602746444,29
0.0,0.686138543477029,0.7004893670855306,1.5,0.9510789602746444,30
0.0,0.686138543477029,0.7004893670855306,1.5,0.9510789602746444,31
0.0,3.5,3.0,1.5,0.9499754781755763,32
0.0,3.5,3.0,1.5,0.9499754781755763,33
0.0,3.5,3.0,1.5,0.9499754781755763,34
4.362790476639839,3.9571701437276268,3.0786440481536403,2.9878062008331434,0.9521824423737126,35
4.362790476639839,3.9571701437276268,3.0786440481536403,2.9878062008331434,0.9514467876410004,36
4.362790476639839,3.9571701437276268,3.0786440481536403,2.9878062008331434,0.9483815595880334,37
4.362790476639839,3.9571701437276268,3.0786440481536403,2.9878062008331434,0.9483815595880334,38
0.0,3.5,3.0,1.5,0.9523050514958313,39
0.0,3.5,3.0,1.5,0.9523050514958313,40
0.0,3.5,3.0,1.5,0.9523050514958313,41
0.0,3.5,3.0,1.5,0.9523050514958313,42
0.0,3.5,3.0,1.5,0.9523050514958313,43
1.9034039881981464,3.2387874242548245,0.010170625166426861,1.6237151228776114,0.9488719960765081,44
4.362790476639839,3.9571701437276268,3.0786440481536403,2.9878062008331434,0.9483815595880334,45
0.0,3.5,3.0,1.5,0.9462972045120157,46
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.9493624325649829,47
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.9493624325649829,48
0.2609183228969403,0.9708388313708971,0.8386328205488969,2.582885301643622,0.9493624325649829,49
