'dataset_directory', 'NUM_INPUT', 'NUM_HIDDEN', 'NUM_OUTPUT', 'BATCH_SIZE', 'INPUT_FRAME_TIMESTEP', 'INPUT_SCALE', 'NETWORK_SCALE', 'NUM_EPOCH', 'NUM_FRAMES', 'verbose', 'debug', 'record_all_hidden_spikes', 'lr', 'dt', 'reg_lambda_lower', 'reg_lambda_upper', 'reg_nu_upper', 'recurrent', 'evaluate', 'input_hidden_w_mean', 'input_hidden_w_sd', 'hidden_hidden_w_mean', 'hidden_hidden_w_sd', 'hidden_output_w_mean', 'hidden_output_w_sd', 'aug_combine_images', 'aug_swap_pixels', 'aug_swap_pixels_kSwap', 'aug_swap_pixels_pSwap', 'aug_swap_pixels_tSwap', 'cross_validation', 'cross_validation_run_all', 'sweeping_suffix', 'output_dir', 'model_description', 'accuracy'
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.1,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e1,SC_run,0.44062434085635943
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.1,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e1,SC_run,0.4328200801518667
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e2,SC_run,0.36152710398650073
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.001,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e3,SC_run,0.21292976165365957
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.001,1,0.0001,0.0001,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e3_reg_1e4,SC_run,0.15249947268508754
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.01,1,0.0001,0.0001,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e2_reg_1e4,SC_run,0.21482809533853617
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,50,100,True,True,False,0.01,1,0.0001,0.0001,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reg_lr_sweep_1e2_reg_1e4,SC_run,0.18740771989031849
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.2,50,100,True,True,0.01,False,1,0,0,0,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_debug_wValidation,run,0.4545981860367011
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.2,50,100,True,True,False,0.01,1,0.0001,0.0001,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_full_reg_lr_sweep_1e2_reg_1e4,SC_run,0.16035646488082683
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.2,50,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_reduced_dataset_set,SC_run,0.4007066019827041
