'dataset_directory', 'NUM_INPUT', 'NUM_HIDDEN', 'NUM_OUTPUT', 'BATCH_SIZE', 'INPUT_FRAME_TIMESTEP', 'INPUT_SCALE', 'NETWORK_SCALE', 'NUM_EPOCH', 'NUM_FRAMES', 'verbose', 'debug', 'record_all_hidden_spikes', 'lr', 'dt', 'reg_lambda_lower', 'reg_lambda_upper', 'reg_nu_upper', 'recurrent', 'evaluate', 'input_hidden_w_mean', 'input_hidden_w_sd', 'hidden_hidden_w_mean', 'hidden_hidden_w_sd', 'hidden_output_w_mean', 'hidden_output_w_sd', 'aug_combine_images', 'aug_swap_pixels', 'aug_swap_pixels_kSwap', 'aug_swap_pixels_pSwap', 'aug_swap_pixels_tSwap', 'cross_validation', 'cross_validation_run_all', 'sweeping_suffix', 'output_dir', 'model_description', 'accuracy'
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,25,100,True,True,False,0.06,1,1e-20,1e-20,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_recurrent_slow_lr_update_scheduledLR,SC_run,0.01655768825142375
~/data/rawSC/rawSC_80input/,80,512,35,64,20,0.0009,1,100,100,True,True,False,0.06,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_poster_results,SC_run,0.5037651078909068
~/data/rawSC/rawSC_80input/,80,512,35,8,20,0.0009,1,50,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_poster_results_2,SC_run,0.81436014258896
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,True,True,False,0.01,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_poster_results_2,SC_run,0.7078376782249219
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_poster_results_2,SC_run,0.01580823420231165
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_poster_results_2,SC_run,0.01580571902662645
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_poster_results_3,SC_run,0.6646418628195394
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_poster_results_3,SC_run,0.01580823420231165
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_poster_results_3,SC_run,0.01580823420231165
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.005,1,1e-20,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_poster_results_3,SC_run,0.01707373660676622
~/data/rawSC/rawSC_80input/,80,512,35,64,20,0.0009,1,200,100,False,False,False,0.001,1,5e-09,5e-09,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_longer_run_TN_params_200e,SC_run,0.01580823420231165
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,1,100,False,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_lr_drop_2,SC,0.41016,0.53672,26/06/2024 10:34:29
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,1,100,False,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,test,SC,0.41167,0.52059,28/06/2024 14:36:27
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,100,100,False,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,full_100_epoch,SC,0.7128,0.72678,28/06/2024 21:02:23
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,1,100,False,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.40744,0.5241,08/07/2024 15:48:07
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,1,100,False,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.41647,0.53011,08/07/2024 15:58:54
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,1,100,False,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.40674,0.527,08/07/2024 16:30:57
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,20,0.0009,1,1,100,False,True,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.41864,0.52099,08/07/2024 16:38:56
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.43467,0.04609,23/07/2024 17:53:23
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,10,100,True,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.01581,0.01533,23/07/2024 18:12:01
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,128,20,1,1,10,100,True,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.62764,0.65565,23/07/2024 18:45:17
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,128,20,1,1,100,100,True,False,False,0.005,0.95,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing,SC,0.01581,0.01533,23/07/2024 21:31:05
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,100,100,True,False,False,0.005,1.0,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing_2,SC,0.01581,0.01533,28/08/2024 19:27:15
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,True,False,0.005,1.0,1,1,1e-11,1e-11,5,True,False,0.0,8.0,0.0,0.0,6.0,3.0,False,False,1,0.2,0.1,False,True,,testing_3_updated_dataset,SC,0.33195,0.05741,02/10/2024 09:40:21
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,True,0.005,1.0,1,1,1e-11,1e-11,5,True,False,0.0,8.0,0.0,0.0,6.0,3.0,False,False,1,0.2,0.1,False,True,,testing_3_updated_dataset,SC,0.32678,0.39906,02/10/2024 09:45:52
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,True,0.005,1.0,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,6.0,3.0,False,False,1,0.2,0.1,False,True,,testing_4_updated_dataset,SC,0.38171,0.53462,02/10/2024 13:34:14
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,True,0.005,1.0,1,1,1e-11,1e-11,10,False,False,0.0,4.0,0.0,0.0,6.0,3.0,False,False,1,0.2,0.1,False,True,,testing_4_updated_dataset,SC,0.24175,0.33844,02/10/2024 13:52:16
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,True,0.005,1.0,1,1,1e-11,1e-11,10,False,False,0.0,0.0,0.0,0.0,6.0,3.0,False,False,1,0.2,0.1,False,True,,testing_4_updated_dataset,SC,0.01586,0.01533,02/10/2024 15:02:09
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,True,0.005,1.0,1,1,1e-11,1e-11,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,testing_4_updated_dataset,SC,0.24332,0.33684,07/10/2024 15:29:07
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,1,100,True,False,True,0.005,1.0,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights,SC,0.25205,0.35578,25/10/2024 14:18:47
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,10,100,True,False,False,0.005,1.0,1,1,1e-07,1e-07,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights,SC,0.3292,0.35247,25/10/2024 17:46:33
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,10,100,True,False,False,0.005,1.0,1,1,1e-11,1e-11,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights,SC,0.04002,0.01533,28/10/2024 14:06:15
/its/home/ts468/data/rawSC/rawSC_80input/,80,512,35,32,2,1,1,100,1000,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,ff_clamped_weights_run2,SC,0.61399,0.60735,04/11/2024 03:15:31
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,10,100,True,False,False,0.005,1.0,1,1,1e-11,1e-11,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights,SC,,0.47042,0.48933,05/11/2024 11:18:06
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,128,20,1,1,100,100,True,False,False,0.01,0.9,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights,SC,,0.63939,0.62669,05/11/2024 15:15:20
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,128,20,1,1,100,100,True,False,False,0.01,0.95,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,clamped_weights_5ms,SC,,0.73298,0.69242,05/11/2024 17:51:49
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,128,20,1,1,100,100,True,False,False,0.01,0.95,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,clamped_weights_5ms_200e,SC,,0.73306,0.69652,05/11/2024 20:07:02
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,200,100,False,False,False,0.01,0.95,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,clamped_weights_5ms_200e_v2,SC,,0.67079,0.6295,06/11/2024 06:44:49
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,100,100,False,False,False,0.05,0.95,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v2,SC,,0.05162,0.04208,06/11/2024 15:50:26
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,100,100,False,False,False,0.05,0.95,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v2,SC,,0.05885,0.03627,06/11/2024 16:16:16
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,100,100,False,False,False,0.05,0.95,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v2,SC,,0.04179,0.03827,06/11/2024 16:20:57
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,100,100,False,False,False,0.01,0.95,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v2,SC,,0.7529,0.75293,06/11/2024 19:21:07
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,100,100,False,False,False,0.001,1,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_!recurrent_v3,SC,,0.63742,0.62579,11/11/2024 20:26:17
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,512,20,1,1,100,100,True,False,False,0.1,1,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v5,SC,,0.01913,0.02054,30/01/2025 18:30:23
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,512,20,1,1,100,100,True,False,False,0.1,0.005,1,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v5,SC,,0.02839,0.03356,03/02/2025 12:32:09
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,200,100,True,False,False,0.01,0.95,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v5,SC,,0.01586,0.01533,03/02/2025 17:49:17
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,200,100,True,False,False,0.01,0.95,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v5,SC,,0.01586,0.01533,04/02/2025 13:14:47
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,200,100,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v5,SC,,0.75006,0.74692,04/02/2025 21:47:19
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,rawHD_test_run_3_cross_validation,rawHD,,0.99832,0.5501,06/02/2025 15:44:42
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,5,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,rawHD_test_run_4_cross_validation,rawHD,,0.99559,0.61222,06/02/2025 15:55:30
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,5,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_4_cross_validation,rawHD,,0.99441,0.67034,06/02/2025 17:09:23
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,1,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_5_cross_validation,rawHD,,0.72548,0.60822,06/02/2025 18:57:54
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,1,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_5_cross_validation,rawHD,,0.70201,0.53407,06/02/2025 19:00:29
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,1,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,rawHD_test_run_5_cross_validation,rawHD,,0.6564,0.90926,07/02/2025 19:04:53
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.005,0.95,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,rawHD_test_run_5_cross_validation,rawHD,,1.0,0.99571,12/02/2025 18:07:39
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.005,0.95,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,rawHD_test_run_6_cross_validation,rawHD,,1.0,0.99387,13/02/2025 06:24:51
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.005,0.95,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_7_cross_validation,rawHD,,0.07628,0.15331,18/02/2025 13:10:41
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,0.95,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_8_cross_validation,rawHD,,0.92889,0.51603,18/02/2025 13:58:36
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_9_cross_validation,rawHD,,0.99986,0.5481,18/02/2025 14:22:11
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_10_cross_validation,rawHD,,0.99944,0.63627,18/02/2025 15:06:44
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,rawHD_aug_merge_test_run_1,rawHD,,0.99663,0.99264,20/02/2025 11:18:51
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_single_speaker,rawHD,,0.99599,0.33347,20/02/2025 14:13:57
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,2,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_11_cross_validation,rawHD,,0.96074,0.58116,26/02/2025 15:54:24
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_test_run_11_cross_validation,rawHD,,0.99972,0.57114,26/02/2025 17:41:37
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,rawHD_speaker_training_1,rawHD,,0.28582,0.10914,09/04/2025 15:43:55
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_speaker_training_1_cross_validation,rawHD,,1.0,0.80576,14/04/2025 16:35:33
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,5,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_speaker_training_2_cross_validation,rawHD,,0.99897,0.83453,14/04/2025 16:50:50
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,rawHD_speaker_training_1,rawHD,,1.0,0.99816,22/04/2025 14:38:37
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,5,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_speaker_training_3_cross_validation,rawHD,,0.99897,0.78417,22/04/2025 18:11:44
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation,rawHD,,0.99972,0.65631,09/05/2025 15:00:30
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation,rawHD,,0.99986,0.58417,09/05/2025 15:12:35
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_single_speaker,rawHD,,0.99699,0.28863,09/05/2025 17:21:18
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_speaker_cross_validation,rawHD,,1.0,0.83453,09/05/2025 18:02:08
/raw-spiking-heidleberg-digits-80input/,80,512,12,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_speaker_cross_validation_single_digit,rawHD,,1.0,0.33867,09/05/2025 18:49:34
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_2,rawHD,,0.98966,0.6012,01/10/2025 12:39:11
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_2,rawHD,,0.99721,0.65631,01/10/2025 12:59:32
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_3,rawHD,,0.97192,0.54409,01/10/2025 15:34:47
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_4,rawHD,,0.99986,0.58116,01/10/2025 15:57:16
/its/home/ts468/data/rawSC/rawSC_80input_updated/,80,512,35,32,20,1,1,200,100,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,clamped_weights_5ms_recurrent_v6,SC,,0.01586,0.01533,02/10/2025 15:02:43
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_4,rawHD,,0.99944,0.57214,02/10/2025 15:36:26
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_5,rawHD,,0.99888,0.59018,13/10/2025 16:00:28
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_single_speaker_1,rawHD,,1.0,0.27801,15/10/2025 10:32:24
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_single_speaker_2,rawHD,,0.998,0.34702,15/10/2025 10:47:49
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_single_speaker_3,rawHD,,0.97796,0.28318,15/10/2025 11:00:23
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_single_speaker_4,rawHD,,0.998,0.29771,15/10/2025 11:12:32
