Epoch,Num trials,Number correct,accuracy,Time
0,7340,1284,0.17493188010899183,1.3276123311370611
0,816,233,0.2855392156862745,0.1488916501402855
1,7340,2993,0.4077656675749319,1.3168087173253298
1,816,397,0.48651960784313725,0.14443234354257584
2,7340,3955,0.5388283378746594,1.3640630301088095
2,816,490,0.6004901960784313,0.1396113745868206
3,7340,4450,0.6062670299727521,1.356350427493453
3,816,528,0.6470588235294118,0.1490676235407591
4,7340,4846,0.6602179836512262,1.4102460630238056
4,816,537,0.6580882352941176,0.1402241252362728
5,7340,4836,0.6588555858310626,1.3762309458106756
5,816,543,0.6654411764705882,0.15076005831360817
6,7340,5133,0.6993188010899183,1.4029243998229504
6,816,608,0.7450980392156863,0.141885319724679
7,7340,5281,0.7194822888283379,1.4152228441089392
7,816,608,0.7450980392156863,0.13968588784337044
8,7340,5406,0.7365122615803815,1.3844983410090208
8,816,617,0.7561274509803921,0.1481115147471428
9,7340,5625,0.7663487738419619,1.3856253065168858
9,816,616,0.7549019607843137,0.14187792874872684
10,7340,5396,0.735149863760218,1.4109470210969448
10,816,620,0.7598039215686274,0.14099772460758686
11,7340,5567,0.7584468664850136,1.426169915124774
11,816,625,0.7659313725490197,0.15275585651397705
12,7340,5826,0.793732970027248,1.3853765241801739
12,816,677,0.8296568627450981,0.13489875197410583
13,7340,5889,0.8023160762942779,1.4122663997113705
13,816,688,0.8431372549019608,0.15042327344417572
14,7340,6050,0.8242506811989101,1.4338792711496353
14,816,677,0.8296568627450981,0.14876735769212246
15,7340,6094,0.8302452316076294,1.4050616342574358
15,816,685,0.8394607843137255,0.14476381801068783
16,7340,6022,0.8204359673024523,1.3921764492988586
16,816,700,0.8578431372549019,0.14155013300478458
17,7340,6072,0.8272479564032698,1.4379763007164001
17,816,700,0.8578431372549019,0.1545559149235487
18,7340,6147,0.8374659400544959,1.437305260449648
18,816,695,0.8517156862745098,0.1365168634802103
19,7340,6176,0.84141689373297,1.4495096541941166
19,816,691,0.8468137254901961,0.1461173240095377
20,7340,6162,0.8395095367847412,1.414008367806673
20,816,675,0.8272058823529411,0.12759040482342243
21,7340,5975,0.8140326975476839,1.4365392085164785
21,816,684,0.8382352941176471,0.15683658979833126
22,7340,6135,0.8358310626702997,1.4493805151432753
22,816,699,0.8566176470588235,0.15152299404144287
23,7340,6236,0.849591280653951,1.4426084086298943
23,816,684,0.8382352941176471,0.14547713100910187
24,7340,6265,0.853542234332425,1.4056258536875248
24,816,715,0.8762254901960784,0.1285426151007414
25,7340,6100,0.8310626702997275,1.4542505014687777
25,816,705,0.8639705882352942,0.15485744923353195
26,7340,6171,0.8407356948228882,1.473177582025528
26,816,704,0.8627450980392157,0.13770193047821522
27,7340,6215,0.8467302452316077,1.4678249042481184
27,816,722,0.8848039215686274,0.14669301733374596
28,7340,6386,0.8700272479564033,1.4209151957184076
28,816,721,0.883578431372549,0.1525382623076439
29,7340,6517,0.887874659400545,1.4749418627470732
29,816,721,0.883578431372549,0.15160742588341236
30,7340,6180,0.8419618528610354,1.4796513877809048
30,816,705,0.8639705882352942,0.15723317489027977
31,7340,6244,0.8506811989100818,1.4550234209746122
31,816,713,0.8737745098039216,0.1532423458993435
32,7340,6390,0.8705722070844687,1.453361839056015
32,816,716,0.8774509803921569,0.15977562963962555
33,7340,6380,0.8692098092643051,1.4679720010608435
33,816,704,0.8627450980392157,0.15543591417372227
34,7340,6435,0.8767029972752044,1.4407406356185675
34,816,716,0.8774509803921569,0.1439350750297308
35,7340,6446,0.8782016348773842,1.4086143970489502
35,816,728,0.8921568627450981,0.1365447361022234
36,7340,6550,0.8923705722070845,1.491115003824234
36,816,706,0.8651960784313726,0.14417023956775665
37,7340,6336,0.8632152588555858,1.4591770879924297
37,816,737,0.9031862745098039,0.14549057371914387
38,7340,6525,0.8889645776566758,1.447914693504572
38,816,730,0.8946078431372549,0.1513715721666813
39,7340,6549,0.8922343324250681,1.4230987895280123
39,816,725,0.8884803921568627,0.15283790044486523
40,7340,6550,0.8923705722070845,1.4818263724446297
40,816,741,0.9080882352941176,0.15236065909266472
41,7340,6517,0.887874659400545,1.4732313677668571
41,816,739,0.9056372549019608,0.15731018222868443
42,7340,6548,0.8920980926430517,1.4576975405216217
42,816,726,0.8897058823529411,0.15483915992081165
43,7340,6642,0.9049046321525885,1.4943308047950268
43,816,731,0.8958333333333334,0.1543294508010149
44,7340,6551,0.8925068119891009,1.4456403311342
44,816,742,0.9093137254901961,0.15401590429246426
45,7340,6579,0.8963215258855586,1.4825454410165548
45,816,743,0.9105392156862745,0.15054932609200478
46,7340,6616,0.9013623978201635,1.4973228704184294
46,816,734,0.8995098039215687,0.156038336455822
47,7340,6655,0.9066757493188011,1.4760835990309715
47,816,756,0.9264705882352942,0.13247288577258587
48,7340,6619,0.9017711171662125,1.4651547614485025
48,816,750,0.9191176470588235,0.15826447121798992
49,7340,6714,0.9147138964577657,1.5095429569482803
49,816,744,0.9117647058823529,0.14045542664825916
